[0.006s][info][gc] Using Concurrent Mark Sweep
[0.007s][info][gc,heap,coops] Heap address: 0x0000000700000000, size: 4096 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[0.058s][info][safepoint    ] Entering safepoint region: EnableBiasedLocking
[0.059s][info][safepoint    ] Leaving safepoint region
[0.059s][info][safepoint    ] Total time for which application threads were stopped: 0.0001302 seconds, Stopping threads took: 0.0000472 seconds
[0.069s][info][safepoint    ] Application time: 0.0080750 seconds
[0.069s][info][safepoint    ] Entering safepoint region: RevokeBias
[0.069s][info][safepoint    ] Leaving safepoint region
[0.069s][info][safepoint    ] Total time for which application threads were stopped: 0.0001058 seconds, Stopping threads took: 0.0000336 seconds
[0.152s][info][safepoint    ] Application time: 0.0831298 seconds
[0.152s][info][safepoint    ] Entering safepoint region: Deoptimize
[0.152s][info][safepoint    ] Leaving safepoint region
[0.152s][info][safepoint    ] Total time for which application threads were stopped: 0.0000727 seconds, Stopping threads took: 0.0000078 seconds
[1.152s][info][safepoint    ] Application time: 1.0001053 seconds
[1.152s][info][safepoint    ] Entering safepoint region: Cleanup
[1.152s][info][safepoint    ] Leaving safepoint region
[1.152s][info][safepoint    ] Total time for which application threads were stopped: 0.0001367 seconds, Stopping threads took: 0.0000133 seconds
[1.357s][info][safepoint    ] Application time: 0.2046624 seconds
[1.357s][info][safepoint    ] Entering safepoint region: Deoptimize
[1.357s][info][safepoint    ] Leaving safepoint region
[1.357s][info][safepoint    ] Total time for which application threads were stopped: 0.0001943 seconds, Stopping threads took: 0.0000514 seconds
[1.396s][info][safepoint    ] Application time: 0.0391649 seconds
[1.396s][info][safepoint    ] Entering safepoint region: Deoptimize
[1.396s][info][safepoint    ] Leaving safepoint region
[1.396s][info][safepoint    ] Total time for which application threads were stopped: 0.0001566 seconds, Stopping threads took: 0.0000080 seconds
[1.443s][info][safepoint    ] Application time: 0.0461385 seconds
[1.443s][info][safepoint    ] Entering safepoint region: Deoptimize
[1.443s][info][safepoint    ] Leaving safepoint region
[1.443s][info][safepoint    ] Total time for which application threads were stopped: 0.0001943 seconds, Stopping threads took: 0.0000323 seconds
[2.340s][info][safepoint    ] Application time: 0.8974930 seconds
[2.340s][info][safepoint    ] Entering safepoint region: Deoptimize
[2.341s][info][safepoint    ] Leaving safepoint region
[2.341s][info][safepoint    ] Total time for which application threads were stopped: 0.0001754 seconds, Stopping threads took: 0.0000083 seconds
[2.487s][info][safepoint    ] Application time: 0.1464632 seconds
[2.487s][info][safepoint    ] Entering safepoint region: Deoptimize
[2.487s][info][safepoint    ] Leaving safepoint region
[2.487s][info][safepoint    ] Total time for which application threads were stopped: 0.0002507 seconds, Stopping threads took: 0.0000089 seconds
[2.744s][info][safepoint    ] Application time: 0.2569622 seconds
[2.744s][info][safepoint    ] Entering safepoint region: ICBufferFull
[2.744s][info][safepoint    ] Leaving safepoint region
[2.745s][info][safepoint    ] Total time for which application threads were stopped: 0.0001751 seconds, Stopping threads took: 0.0000253 seconds
[2.871s][info][safepoint    ] Application time: 0.1263325 seconds
[2.871s][info][safepoint    ] Entering safepoint region: Deoptimize
[2.871s][info][safepoint    ] Leaving safepoint region
[2.871s][info][safepoint    ] Total time for which application threads were stopped: 0.0003402 seconds, Stopping threads took: 0.0000079 seconds
[2.878s][info][safepoint    ] Application time: 0.0071722 seconds
[2.878s][info][safepoint    ] Entering safepoint region: Deoptimize
[2.879s][info][safepoint    ] Leaving safepoint region
[2.879s][info][safepoint    ] Total time for which application threads were stopped: 0.0003222 seconds, Stopping threads took: 0.0000076 seconds
[2.997s][info][safepoint    ] Application time: 0.1180585 seconds
[2.997s][info][safepoint    ] Entering safepoint region: Deoptimize
[2.997s][info][safepoint    ] Leaving safepoint region
[2.997s][info][safepoint    ] Total time for which application threads were stopped: 0.0003338 seconds, Stopping threads took: 0.0000093 seconds
[3.264s][info][safepoint    ] Application time: 0.2667196 seconds
[3.264s][info][safepoint    ] Entering safepoint region: ICBufferFull
[3.264s][info][safepoint    ] Leaving safepoint region
[3.264s][info][safepoint    ] Total time for which application threads were stopped: 0.0001660 seconds, Stopping threads took: 0.0000218 seconds
[3.366s][info][safepoint    ] Application time: 0.1018130 seconds
[3.366s][info][safepoint    ] Entering safepoint region: Deoptimize
[3.366s][info][safepoint    ] Leaving safepoint region
[3.366s][info][safepoint    ] Total time for which application threads were stopped: 0.0003843 seconds, Stopping threads took: 0.0000078 seconds
[3.455s][info][safepoint    ] Application time: 0.0889054 seconds
[3.455s][info][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.455s][info][safepoint    ] Leaving safepoint region
[3.455s][info][safepoint    ] Total time for which application threads were stopped: 0.0001961 seconds, Stopping threads took: 0.0000214 seconds
[3.538s][info][safepoint    ] Application time: 0.0826263 seconds
[3.538s][info][safepoint    ] Entering safepoint region: GenCollectForAllocation
[3.538s][info][gc,start     ] GC(0) Pause Young (Allocation Failure)
[3.539s][info][gc,task      ] GC(0) Using 4 workers of 4 for evacuation
[3.588s][debug][gc,ref       ] GC(0) Skipped phase1 of Reference Processing due to unavailable references
[3.588s][debug][gc,ref       ] GC(0) Skipped phase3 of Reference Processing due to unavailable references
[3.588s][debug][gc,age       ] GC(0) Desired survivor size 15400960 bytes, new threshold 1 (max threshold 6)
[3.588s][info ][gc,heap      ] GC(0) ParNew: 240896K->30079K(270976K)
[3.588s][info ][gc,heap      ] GC(0) CMS: 0K->2697K(602112K)
[3.588s][info ][gc,metaspace ] GC(0) Metaspace: 20591K->20591K(1069056K)
[3.588s][info ][gc           ] GC(0) Pause Young (Allocation Failure) 235M->32M(852M) 49.879ms
[3.588s][info ][gc,cpu       ] GC(0) User=0.18s Sys=0.01s Real=0.04s
[3.588s][info ][safepoint    ] Leaving safepoint region
[3.588s][info ][safepoint    ] Total time for which application threads were stopped: 0.0500470 seconds, Stopping threads took: 0.0000277 seconds
[3.588s][info ][safepoint    ] Application time: 0.0002317 seconds
[3.588s][info ][safepoint    ] Entering safepoint region: CMS_Initial_Mark
[3.588s][info ][gc,start     ] GC(1) Pause Initial Mark
[3.599s][info ][gc           ] GC(1) Pause Initial Mark 36M->36M(852M) 10.328ms
[3.599s][info ][gc,cpu       ] GC(1) User=0.03s Sys=0.00s Real=0.01s
[3.599s][info ][safepoint    ] Leaving safepoint region
[3.599s][info ][safepoint    ] Total time for which application threads were stopped: 0.0104330 seconds, Stopping threads took: 0.0000126 seconds
[3.599s][info ][gc           ] GC(1) Concurrent Mark
[3.625s][info ][gc           ] GC(1) Concurrent Mark 25.834ms
[3.625s][info ][gc,cpu       ] GC(1) User=0.09s Sys=0.00s Real=0.02s
[3.625s][info ][safepoint    ] Application time: 0.0259740 seconds
[3.625s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.625s][info ][safepoint    ] Leaving safepoint region
[3.625s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001215 seconds, Stopping threads took: 0.0000375 seconds
[3.625s][info ][gc           ] GC(1) Concurrent Preclean
[3.625s][debug][gc,ref       ] GC(1) Preclean SoftReferences 0.001ms
[3.625s][debug][gc,ref       ] GC(1) Preclean WeakReferences 0.000ms
[3.625s][debug][gc,ref       ] GC(1) Preclean FinalReferences 0.000ms
[3.625s][debug][gc,ref       ] GC(1) Preclean PhantomReferences 0.000ms
[3.625s][info ][safepoint    ] Application time: 0.0003815 seconds
[3.625s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.626s][info ][safepoint    ] Leaving safepoint region
[3.626s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001671 seconds, Stopping threads took: 0.0001097 seconds
[3.626s][info ][safepoint    ] Application time: 0.0001161 seconds
[3.626s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.626s][info ][safepoint    ] Leaving safepoint region
[3.626s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000790 seconds, Stopping threads took: 0.0000319 seconds
